k,accuracy,f1_0,f1_1
44,0.8661417322834646,0.8349514563106796,0.8874172185430463
44,0.889763779527559,0.8679245283018868,0.9054054054054054
44,0.8766404199475065,0.8498402555910544,0.8953229398663697
44,0.8818897637795275,0.8524590163934426,0.9015317286652079
44,0.889763779527559,0.8670886075949367,0.905829596412556
44,0.89501312335958,0.8709677419354839,0.911504424778761
44,0.8398950131233596,0.7946127946127947,0.8688172043010752
44,0.8923884514435696,0.8673139158576052,0.9094922737306843
44,0.9186351706036745,0.9040247678018576,0.929384965831435
45,0.889763779527559,0.8627450980392157,0.9078947368421053
45,0.8582677165354331,0.8258064516129032,0.8805309734513275
45,0.889763779527559,0.8679245283018868,0.9054054054054054
45,0.8818897637795275,0.8562300319488818,0.8997772828507795
45,0.8818897637795275,0.8524590163934426,0.9015317286652079
45,0.8818897637795275,0.8580441640378549,0.898876404494382
45,0.8923884514435696,0.8673139158576052,0.9094922737306843
45,0.8372703412073491,0.7905405405405406,0.8669527896995708
45,0.89501312335958,0.8709677419354839,0.911504424778761
45,0.9133858267716536,0.8978328173374613,0.9248291571753986
46,0.889763779527559,0.8618421052631579,0.9082969432314411
46,0.868766404199475,0.8387096774193549,0.8893805309734514
46,0.889763779527559,0.8679245283018868,0.9054054054054054
46,0.8818897637795275,0.8562300319488818,0.8997772828507795
46,0.8818897637795275,0.8524590163934426,0.9015317286652079
46,0.8923884514435696,0.8706624605678234,0.9078651685393259
46,0.89501312335958,0.8717948717948718,0.9111111111111111
46,0.8372703412073491,0.7905405405405406,0.8669527896995708
46,0.889763779527559,0.864516129032258,0.9070796460176991
46,0.916010498687664,0.9012345679012346,0.9269406392694064
47,0.8923884514435696,0.8655737704918033,0.9102844638949672
47,0.8582677165354331,0.8269230769230769,0.88
47,0.8871391076115486,0.8634920634920635,0.9038031319910514
47,0.884514435695538,0.8589743589743589,0.9022222222222223
47,0.8792650918635171,0.8486842105263158,0.8995633187772926
47,0.884514435695538,0.8616352201257862,0.9009009009009009
47,0.8923884514435696,0.8690095846645367,0.9086859688195991
47,0.8346456692913385,0.7864406779661017,0.8650963597430407
47,0.8871391076115486,0.86084142394822,0.9050772626931567
47,0.916010498687664,0.9012345679012346,0.9269406392694064
48,0.889763779527559,0.8618421052631579,0.9082969432314411
48,0.8661417322834646,0.8349514563106796,0.8874172185430463
48,0.8871391076115486,0.8634920634920635,0.9038031319910514
48,0.8818897637795275,0.8562300319488818,0.8997772828507795
48,0.8740157480314961,0.8431372549019608,0.8947368421052632
48,0.889763779527559,0.8679245283018868,0.9054054054054054
48,0.8923884514435696,0.8681672025723473,0.9090909090909091
48,0.8398950131233596,0.7946127946127947,0.8688172043010752
48,0.8871391076115486,0.8617363344051447,0.9046563192904656
48,0.9212598425196851,0.906832298136646,0.9318181818181818
49,0.8871391076115486,0.8590163934426229,0.9059080962800875
49,0.8582677165354331,0.8258064516129032,0.8805309734513275
49,0.884514435695538,0.8607594936708861,0.9013452914798207
49,0.8818897637795275,0.8562300319488818,0.8997772828507795
49,0.8740157480314961,0.8431372549019608,0.8947368421052632
49,0.889763779527559,0.8679245283018868,0.9054054054054054
49,0.8871391076115486,0.8617363344051447,0.9046563192904656
49,0.8372703412073491,0.7905405405405406,0.8669527896995708
49,0.889763779527559,0.864516129032258,0.9070796460176991
49,0.9186351706036745,0.9040247678018576,0.929384965831435
